customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ID3293340280,2019-09-05,Nickolson,"[('iStream', 2), ('Lucent 330S', 2), ('Thunder line', 2)]",7120.0,105.87,-37.823877200000005,144.98166799999998,0,7225.87,Spring,True,1.217,i love the color and its a great phone love this phone. the camera is great and it's the best phone i've had..,1.0
ID3555802211,2019-03-07,Thompson,"[('Olivia x460', 1), ('Thunder line', 2), ('Lucent 330S', 1), ('Universe Note', 1)]",10265.0,65.56,-37.8055432,144.9369369,15,8790.81,Autumn,True,1.1933,arrived damaged arrived with a scratched screen. quality does not match price.,0.0
ID1449316618,2019-09-26,Bakers,"[('pearTV', 2), ('Thunder line', 1)]",14800.0,61.7,-37.8168386,144.98988899999998,15,12641.7,Spring,False,0.895,this company is a joke dont work. this company sold me a broken phone. they're crooks. at full battery it dies and says it has no battery life. and gets no internet anywhere. turns on and off on its own.,0.0
ID5402876526,2019-05-29,Nickolson,"[('Alcon 10', 2), ('iStream', 1), ('Toshika 750', 1), ('Lucent 330S', 2)]",24830.0,63.45,-37.8210425,144.9768222,10,22410.45,Autumn,False,0.695,great phone i just recieved this phone monday 8/5/19 and so far so good. good phone for good price,1.0
ID0547588459,2019-05-15,Bakers,"[('Candle Inferno', 2), ('iAssist Line', 1), ('pearTV', 1), ('iStream', 1)]",9545.0,64.91,-37.8163524,144.9883405,0,9609.91,Autumn,False,0.9316,four stars i like,1.0
ID3161948921,2019-02-25,Thompson,"[('Thunder line', 2), ('Alcon 10', 2), ('Universe Note', 1)]",25710.0,58.55,-37.8089164,144.9573385,5,24483.05,Summer,False,0.9953,"not as advertised advertised as fully unlocked. it wasn't. advertised as having a sim card, it did not",0.0
ID1985336815,2019-07-03,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 1), ('Toshika 750', 1)]",7770.0,65.98,-37.8050461,144.9672492,25,5893.48,Winter,True,1.5217,commercial fraud this version not dual sim but 4g version should come dual sim wow even olivia cheating us what i can say i am the stupid who left pear to come to olivia,0.0
ID1594632456,2019-10-02,Nickolson,"[('Alcon 10', 1), ('Thunder line', 2), ('Candle Inferno', 1), ('Toshika 750', 2)]",22380.0,102.18,-37.820361600000005,144.979064,15,19125.18,Spring,True,0.8593,nil good,1.0
ID4367162744,2019-08-22,Thompson,"[('Lucent 330S', 2), ('Universe Note', 2)]",9360.0,84.49,-37.7996302,144.961576,5,8976.49,Winter,True,1.9329,xperia fanatic! best phones out there for the price this is my third song xperia phone and i'll continue to buy them as i need or should i say want because i really don't need a new one but they are just so cool,1.0
ID1033063213,2019-05-11,Bakers,"[('Lucent 330S', 2), ('Universe Note', 1), ('Thunder line', 2)]",10270.0,80.54,-37.80068920000001,144.99432130000002,0,10350.54,Autumn,True,1.0391,"overall great phone and happy purchase love the design, screen, performance, battery isnt very good ( not for me at least ) if you always have your phone in hand battery dies pretty steadily. camera let me down most of all. had a huawei 8x honor and it's camera blew this one out of the water",1.0
ID0305106879,2019-12-03,Thompson,"[('Olivia x460', 1), ('Thunder line', 1)]",3405.0,92.28,-37.8086535,144.9443381,5,3327.03,Summer,True,0.5078,amazing for less than retail price amazing phone. brand new spanking note 9 no complaints looking to keep this guy for a while b),1.0
ID4162427930,2019-07-29,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Thunder line', 2)]",23485.0,72.12,-37.8196563,144.9716825,25,17685.87,Winter,True,0.2216,best phone outside of rip off flagships best phone for $300 you can buy,1.0
ID2189377520,2019-08-13,Nickolson,"[('Universe Note', 1), ('pearTV', 2), ('Toshika 750', 2), ('Alcon 10', 2)]",42610.0,67.77,-37.80814779999999,144.9761106,10,38416.77,Winter,False,1.2982,"so happy with this seller! i was nervous about buying a phone ""through the mail"". this phone is in perfect condition. it works great. it arrived fast and i am very happy. great job!",1.0
ID2948774559,2019-05-25,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Universe Note', 1)]",6905.0,76.98,-37.8144278,144.9744102,10,6291.48,Autumn,True,0.6307,great great phone at a great price,1.0
ID0053132201,2019-03-19,Thompson,"[('Olivia x460', 2), ('Candle Inferno', 1)]",2880.0,52.36,-37.799913000000004,144.9515033,15,2500.36,Autumn,False,1.473,"worked for 2 months and then it crashed and now ... worked for 2 months and then it crashed and now it wont turn back on. no light no nothing when its on charge, forced restart does not work. may not be the experience with everyone but this is absolute foolishness.",0.0
ID0628174360,2019-05-31,Thompson,"[('iAssist Line', 2), ('pearTV', 1), ('Thunder line', 2)]",15120.0,62.4,-37.812513200000005,144.9478139,25,11402.4,Autumn,False,0.0679,"got it in great condition. compatible with ting too. it came just as i hoped; white color, almost new condition, no scratches or any noticeable flaws at all. started it up as soon as i got it and had no issues connecting it with ting.",1.0
ID0411688745,2019-04-23,Nickolson,"[('Toshika 750', 1), ('Universe Note', 1), ('pearTV', 2)]",20390.0,47.73,-37.820842,144.9695038,0,20437.73,Autumn,False,0.2502,one star bed,0.0
ID0356449290,2019-11-10,Bakers,"[('Alcon 10', 1), ('Thunder line', 2), ('Candle Inferno', 1)]",13740.0,74.45,-37.8071165,144.9876635,5,13127.45,Spring,False,0.7388,"it takes great pics! i like it, but some calls haven't come in even though i have gotten voice mails..i do live in an area with few towers. that could be it..i like the phone. it takes great pictures.",1.0
ID0641031121,2019-09-05,Thompson,"[('Universe Note', 2), ('Thunder line', 2), ('pearTV', 2)]",23880.0,99.21,-37.8104487,144.94187309999998,10,21591.21,Spring,True,0.5197,five stars like ever good,1.0
ID0612015106,2019-12-17,Nickolson,"[('Alcon 10', 2), ('Thunder line', 1), ('Universe Note', 2)]",26980.0,76.1,-37.8162602,144.96340080000002,25,20311.1,Summer,True,0.6,only gave one star bc i had to got this phone bc my other one just like it broke and i hate this phone i can't download anything on it,0.0
ID2291074004,2019-03-24,Thompson,"[('Lucent 330S', 1), ('pearTV', 2), ('Alcon 10', 2), ('iStream', 2)]",32050.0,62.05,-37.8129131,144.95268869999998,25,24099.55,Autumn,True,0.4949,not good the phone wasn't new when it was supose to...it has scratches on it,0.0
ID0581784158,2019-11-27,Thompson,"[('Universe Note', 1), ('Thunder line', 1)]",5630.0,76.99,-37.8077414,144.9397185,10,5143.99,Spring,False,0.8481,"excellent i bought this for my 10 year old son's birthday. it's his first phone, but he is pretty tech savvy. he loves the phone. excellent phone for the money. no complaints on the typical weak points of low-mid range phones like battery, camera or anything else.",1.0
ID0589759894,2019-02-07,Thompson,"[('Toshika 750', 2), ('Universe Note', 2)]",15540.0,77.16,-37.8218102,144.9518698,0,15617.16,Summer,False,1.1012,"good phone, little buggy. great phone for the price. the latest android 9 was recently installed and it has gotten a little buggy.",1.0
ID5959605036,2019-11-24,Bakers,"[('iStream', 1), ('pearTV', 2)]",12770.0,75.05,-37.8163302,144.99589430000003,25,9652.55,Spring,False,0.7075,five stars because it's easy to manage everyday and not too big for my pockets,1.0
ID6231506302,2019-09-30,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 1), ('iAssist Line', 2)]",13830.0,83.55,-37.8244434,144.9702946,15,11839.05,Spring,True,0.6543,"it's not properly work with t-mobile. it was for my father. he doesn't needs all new futures so i purchased past model. if you are t mobile user, not recommend.",0.0
ID0477304300,2019-11-02,Bakers,"[('Olivia x460', 1), ('Lucent 330S', 2), ('Candle Inferno', 2)]",4545.0,87.23,-37.803774700000005,145.01865930000002,10,4177.73,Spring,False,2.1737,"beauuutiful! ok! so here's the deal. if you have metropcs and you aren't getting service on the phone instantly, put your sim back into you other phone and call metro, tell them you want to switch over, get your imei #2 and they'll switch you over!!! i love this phone!!",1.0
ID0356449502,2019-01-03,Bakers,"[('Universe Note', 1), ('Olivia x460', 1), ('Alcon 10', 1)]",13625.0,74.39,-37.807395899999996,144.9869308,5,13018.14,Summer,False,0.7854,it works just like a olivia universe s4 that was stolen from me i had a droid incredible 2 and decide to get this phone. it works just like a olivia universe s4 that was stolen from me. it is worth having. good phone.,1.0
ID0202772778,2019-10-26,Thompson,"[('Candle Inferno', 1), ('Thunder line', 1), ('Universe Note', 1), ('Lucent 330S', 1)]",7290.0,78.94,-37.8083333,144.9351746,25,5546.44,Spring,False,1.1522,four stars good,1.0
ID3589872341,2019-02-18,Thompson,"[('Olivia x460', 2), ('Thunder line', 2)]",6810.0,67.03,-37.8116006,144.9274278,15,5855.53,Summer,False,1.7314,one star the phone kept on resetting itself and could not be used.,0.0
ID2180785594,2019-11-08,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 2)]",7330.0,73.03,-37.8145127,144.97003469999999,25,5570.53,Spring,False,0.4564,5 stars amazing phone,1.0
ID0775946941,2019-12-11,Thompson,"[('Candle Inferno', 2), ('pearTV', 2), ('Thunder line', 1), ('iStream', 2)]",15960.0,76.93,-37.8041711,144.9584591,10,14440.93,Summer,False,1.3781,durable - my son has dropped it numerous times and it’s great best deal around is here on digico!,1.0
ID0207093557,2019-08-27,Bakers,"[('Toshika 750', 1), ('Candle Inferno', 2), ('iAssist Line', 1), ('Universe Note', 2)]",14305.0,65.06,-37.8047156,144.9998193,15,12224.31,Winter,False,0.7129,good buy i absolutely love this product. not only did it meet expectations. it went beyond what was expected. cold temp hot temp ... my dad whom i brought the item for loves everything about it.,1.0
ID0248266307,2019-02-24,Bakers,"[('Olivia x460', 2), ('Alcon 10', 1), ('Candle Inferno', 1)]",11830.0,83.97,-37.8249062,144.9911605,5,11322.47,Summer,False,1.6979,"best phone so far that i have great battery, last whole day without any problem for a heavier user! face recognition is fast, no need the fingerprint. google softwares work fine. camera is awesome!",1.0
ID0492939882,2019-04-28,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 1)]",1655.0,53.33,-37.7994026,145.0111035,5,1625.58,Autumn,False,1.8274,did not work it took two weeks to get this phone. i spent two hours at sprint store only to find out that that phone could not be activated. sent it back.,0.0
ID0547586436,2019-03-21,Bakers,"[('Thunder line', 1), ('Universe Note', 2), ('iStream', 2), ('pearTV', 2)]",22000.0,80.15,-37.813942,144.98448080000003,5,20980.15,Autumn,True,1.0425,"great price my carrier could not give me this great price for this great product. so many features, i use it more than my ipad .",1.0
ID0709971533,2019-08-29,Thompson,"[('iAssist Line', 2), ('Alcon 10', 2), ('iStream', 1), ('Candle Inferno', 2)]",23360.0,66.74,-37.8145236,144.9350789,25,17586.74,Winter,False,1.0744,"good value for the money very nice, looks almost brand new.. battery capacity is however 87%,nice phone tho.",1.0
ID5257193654,2019-09-09,Nickolson,"[('Toshika 750', 2), ('iAssist Line', 2), ('Universe Note', 1)]",16540.0,102.55,-37.8130118,144.9762313,5,15815.55,Spring,True,0.8552,"great phone for amazing price! worth the shot! great purchase! works better than my last s7 edge i got from ebay, no issues completely perfect condition! mine was a navy blue not black but i love it! highly recommend this seller.",1.0
ID6167440949,2019-07-05,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('Toshika 750', 1), ('iStream', 1)]",13850.0,77.28,-37.8162727,144.96395959999998,5,13234.78,Winter,True,0.5555,"the best one i have ever owned great battery life, fast, secured and easy to use.",1.0
ID0283334276,2019-04-04,Thompson,"[('Alcon 10', 1), ('Toshika 750', 1)]",13270.0,70.14,-37.8007309,144.95302949999999,5,12676.64,Autumn,False,1.429,"excelente producto, perfecto estado. excelente producto, perfecto estado - ecuador",1.0
ID0703556752,2019-06-16,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 1), ('Toshika 750', 2), ('Thunder line', 2)]",16680.0,76.87,-37.806534899999996,144.95608049999998,5,15922.87,Winter,True,1.0464,amazing how a man can just love a phone. my husband loves his gift thank you so much. i,1.0
ID0250933623,2019-11-26,Bakers,"[('Lucent 330S', 2), ('Thunder line', 1), ('Universe Note', 2), ('iStream', 2)]",11840.0,84.34,-37.822751700000005,145.0039638,5,11332.34,Spring,False,1.6142,excelente opción excelente teléfono y 100% funcional es méxico. todo ok,1.0
ID1463620961,2019-11-27,Bakers,"[('iAssist Line', 2), ('Universe Note', 1), ('Lucent 330S', 1)]",9130.0,79.89,-37.8192464,145.005678,25,6927.39,Spring,False,1.3799,"the phone works nice. but when i got the box it was ... the phone works nice. but when i got the box it was already opened, and the headset was missing from the box.",1.0
ID6167289311,2019-05-31,Nickolson,"[('Thunder line', 1), ('iStream', 2)]",2480.0,81.07,-37.8079412,144.96991699999998,15,2189.07,Autumn,True,1.1864,"good enough @ this price big screen with a small battery perfect camare yet processer is not good enough above all, i like its design",1.0
ID1713449449,2019-03-28,Bakers,"[('pearTV', 1), ('Thunder line', 1)]",8490.0,66.17,-37.8104509,144.98346619999998,15,7282.67,Autumn,False,1.036,"great pear alcon received as described, looks like new, great price.",1.0
ID3219558983,2019-11-23,Thompson,"[('Thunder line', 1), ('Alcon 10', 1), ('pearTV', 1), ('Olivia x460', 1)]",18665.0,60.45,-37.8070175,144.9499535,25,14059.2,Spring,False,0.6788,no funciona no prende no se prende el cel y está súper mal estéticamente quiero que me devuelva mi plata 😩,0.0
ID0591211496,2019-05-14,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('pearTV', 2), ('iAssist Line', 1)]",19595.0,67.08,-37.82248679999999,144.9555012,10,17702.58,Autumn,False,1.3092,five stars this phone is wonderful i love it. it is new and lovely,1.0
ID0387266410,2019-03-19,Thompson,"[('Alcon 10', 1), ('pearTV', 1), ('Thunder line', 2)]",19620.0,49.83,-37.8105115,144.95485459999998,10,17707.83,Autumn,False,0.7258,"refurbished dud i don't think the alcon x is a bad phone overall, i just got a bad refurbished one from trademore mobile. it looked brand new but the touch screen had a dead area so i was never able to even set up the phone.",0.0
ID0575386089,2019-02-11,Nickolson,"[('iAssist Line', 1), ('iStream', 2), ('Olivia x460', 2), ('pearTV', 1)]",11285.0,77.9,-37.8206485,144.98343730000002,15,9670.15,Summer,False,1.2423,excellent!! works perfectly!!,1.0
ID6167191184,2019-06-16,Thompson,"[('Lucent 330S', 2), ('pearTV', 1)]",8770.0,65.73,-37.818975,144.95409119999997,10,7958.73,Winter,False,0.9346,"better than a lot of what is currently available great phone, especially for the money. good battery life. good sounding. voicemail indicator. bring it back.",1.0
ID0775945819,2019-11-05,Nickolson,"[('Toshika 750', 2), ('iStream', 2)]",8940.0,107.62,-37.806660799999996,144.96241469999998,25,6812.62,Spring,True,1.4693,five stars i have one and i gave this one to my wife and she loves it.,1.0
ID2597822042,2019-07-19,Thompson,"[('Thunder line', 2), ('iStream', 1), ('pearTV', 2)]",17130.0,70.65,-37.7994183,144.9547368,5,16344.15,Winter,False,1.6223,"its worthy that money i can’t complain it’s a brand know phone ,this is how it looks when i open the box and my grandpa will love it thank you❤️",1.0
ID4754200407,2019-07-11,Thompson,"[('Lucent 330S', 1), ('Candle Inferno', 1), ('iStream', 1)]",1810.0,71.66,-37.8167361,144.92739519999998,10,1700.66,Winter,False,1.7882,"genial me encanta mi telefono, la cámara es de excelente resolución, lo único malo es la huella digital en la parte frontal no siempre reconoce la huella y se femora, hay que acostumbrase a eso",1.0
ID0767592619,2019-01-31,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Alcon 10', 1), ('Olivia x460', 2)]",16950.0,98.98,-37.8079225,144.9732186,25,12811.48,Summer,True,1.2309999999999999,"cute and quirky little phone. manual doesn't tell you ... cute and quirky little phone. manual doesn't tell you everything, you need to blog. do not turn on voice command, it is a nightmare to turn off. battery doesn't last too long, but for digico's price, this phone is tops.",1.0
ID4887670715,2019-02-22,Thompson,"[('Toshika 750', 2), ('Thunder line', 2), ('Alcon 10', 1), ('Olivia x460', 2)]",24400.0,77.14,-37.8215822,144.93602090000002,5,23257.14,Summer,False,1.3883,great phone love this phone. smooth transition. exceptional pictures.,1.0
ID2850399839,2019-11-15,Thompson,"[('pearTV', 1), ('Thunder line', 1)]",8490.0,74.76,-37.814727000000005,144.9539234,10,7715.76,Spring,False,0.6447,"i love the idea is the star trek computer at home. the skills are great, but the natural language work is mediocre.",1.0
ID0257503480,2019-11-23,Thompson,"[('pearTV', 1), ('Thunder line', 2)]",10670.0,69.51,-37.799838,144.9622065,10,9672.51,Spring,False,1.9529,"no flashlight. no flashlight on this phone. picture shows it does has a light, but it does not. beware.",0.0
ID0711358362,2019-07-09,Thompson,"[('iStream', 1), ('Candle Inferno', 1), ('Alcon 10', 2), ('Thunder line', 1)]",20660.0,62.26,-37.807193,144.9582795,10,18656.26,Winter,True,1.1594,it’s a good phone but not sure if it’s life expectancy i had to return the phone due to it locking up as a factory defect.,0.0
ID6197209829,2019-11-27,Thompson,"[('Olivia x460', 1), ('Toshika 750', 2), ('pearTV', 1), ('Candle Inferno', 2)]",17035.0,92.94,-37.817115,144.9321309,25,12869.19,Spring,True,1.4036,phone no good poor poor poor.. try send a voice note the message takes forever to start record volume so low have to put on speaker to hear for both incoming and outgoing calls. press screen sometimes it doesn't respond,0.0
ID0259160131,2019-10-04,Nickolson,"[('Lucent 330S', 2), ('Candle Inferno', 2), ('Alcon 10', 1), ('iStream', 1)]",12420.0,85.94,-37.8218555,144.9603868,10,11263.94,Spring,True,0.8838,highly highly disappointed the phone box did not have a seal....the phone face and back was filled with fingerprint smudges as if someone was using it.....there was no manual in the box one of the usb connectors was missing,0.0
