order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD269070,ID0844501069,2019-01-21,Thompson,"[('Olivia x460', 2), ('Thunder line', 2)]",6810,58.63,-37.82163900000001,144.9450746,5,6528.13,Summer,False,1.0133,not unlocked at all not unlocked. do not buy,False
ORD340169,ID0054397000,2019-08-28,Thompson,"[('iAssist Line', 2), ('Toshika 750', 2), ('Candle Inferno', 1)]",13520,78.36,-37.8020591,144.9476939,15,11570.36,Winter,True,1.1828,better then the older models bigger and better then before,True
ORD298926,ID0581728427,2019-02-18,Thompson,"[('Toshika 750', 2), ('pearTV', 2), ('Lucent 330S', 1)]",22490,112.13,-37.80468270000001,144.9200194,15,19228.63,Summer,True,2.5398,love this phone for its simplicity ! lover this phone for its simiplicity. its a very very basic phone. calls/reception is excellent when talking. charge does stay for more than 1 day if you are a avg-heavy caller.,True
ORD426322,ID2755217877,2019-12-27,Bakers,"[('Candle Inferno', 1), ('Thunder line', 1), ('Olivia x460', 2), ('Alcon 10', 1)]",14010,91.93,-37.8048419,144.9934812,5,13401.43,Summer,True,0.5941,exceeded expectations great value at a low price point,True
ORD169160,ID0266733899,2019-03-28,Nickolson,"[('Lucent 330S', 2), ('pearTV', 2), ('Universe Note', 2)]",21980,65.07,-37.814451299999995,144.9721658,25,16550.07,Autumn,False,0.5154,works perfect love it would highly recommend this seller .. thank you,True
ORD055465,ID0635529209,2019-11-29,Thompson,"[('Alcon 10', 1), ('iAssist Line', 1), ('Candle Inferno', 2), ('Olivia x460', 1)]",13260,100.13,-37.8140304,144.9396809,5,12697.13,Spring,True,0.667,five stars good product and care,True
ORD238426,ID5167159986,2019-08-25,Bakers,"[('Toshika 750', 2), ('Universe Note', 2)]",15540,61.34,-37.8113612,145.0050992,25,11716.34,Winter,True,0.8809999999999999,ordered different cellular no. i thought i was ordering a universe ii. and when my son saw the cell phone. he did not want it.,False
ORD071648,ID6167344528,2019-12-23,Nickolson,"[('Olivia x460', 1), ('iStream', 2), ('iAssist Line', 2)]",5975,90.41,-37.8146708,144.96913080000004,5,5766.66,Summer,True,0.4384,"this phone is so much better than my olivias3 this phone is so much better than my olivias3. no comparison, would buy again in a minute. granted, i'm not a tech-no-geek but it's a huge difference.",True
ORD220406,ID6167265865,2019-09-09,Nickolson,"[('pearTV', 1), ('Candle Inferno', 1)]",6740,97.39,-37.8173089,144.96745869999995,5,6500.39,Spring,True,0.2331,"toshika great product, as advertised",True
ORD378375,ID0711773913,2019-07-13,Thompson,"[('Thunder line', 1), ('Toshika 750', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",18950,60.9,-37.8175377,144.94973169999997,25,14273.4,Winter,True,0.59,"useless ! unaware phone came without a sim card. not a very good phone when you can't get a number, or call it,.",False
ORD194795,ID0332546359,2019-03-18,Thompson,"[('Olivia x460', 2), ('Universe Note', 2), ('Lucent 330S', 2)]",11810,73.875,-37.8074681,144.9428696,10,10678.25,Autumn,False,0.6871,it contains too many adds that cant be removed including the lock screen its not worth the money,False
ORD442837,ID5402876188,2019-01-15,Nickolson,"[('Toshika 750', 2), ('Alcon 10', 1), ('Lucent 330S', 2), ('Olivia x460', 2)]",22500,77.48,-37.8204757,144.97680569999997,10,20327.48,Summer,True,0.6714,one star this phone stopped working very shortly after we received it,False
ORD482080,ID0387152985,2019-03-22,Thompson,"[('Universe Note', 2), ('Toshika 750', 1), ('Candle Inferno', 1)]",11650,64.93,-37.80587070000001,144.94662590000004,5,11132.43,Autumn,False,0.7582,love it -- the best.  my experience with refurbished devices is excellent.,True
ORD124737,ID6282174141,2019-01-14,Nickolson,"[('Toshika 750', 2), ('Thunder line', 1), ('Olivia x460', 1), ('pearTV', 2)]",24665,70.92,-37.8232903,144.97665769999998,0,24735.92,Summer,False,0.8147,the phone works good good phone,True
ORD426067,ID1847879576,2019-05-30,Bakers,"[('Candle Inferno', 1), ('Olivia x460', 1), ('Universe Note', 1)]",5105,68.62,-37.81275120000001,145.0131535,15,4407.87,Autumn,False,1.6057,great phone. great phone! recommend. fast charging is really fast. no trouble and easy to use,True
ORD183099,ID5957906925,2019-08-08,Nickolson,"[('iStream', 1), ('Lucent 330S', 1)]",1380,67.08,-37.8059919,144.97348169999995,0,1447.08,Winter,False,1.4449,olivia universe j3 2018 i am very very happy with this cell phone.,True
ORD411668,ID3218293560,2019-02-05,Thompson,"[('pearTV', 1), ('Universe Note', 2), ('Alcon 10', 1), ('Candle Inferno', 2)]",23020,82.7,-37.804508,144.9557728,10,20800.7,Summer,True,1.1883,nope sound is so bad.,False
ORD357208,ID0588236765,2019-01-09,Nickolson,"[('iStream', 2), ('Toshika 750', 1)]",4620,93.45,-37.81143970000001,144.9732334,10,4251.45,Summer,True,0.8598,"i love the phone i love the phone, it had a very good camera and it is fast and smooth, but it has blocked the finger print reader, this takes off a good functionality.",True
ORD165951,ID0287630715,2019-12-24,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Alcon 10', 1)]",14130,95.83,-37.8031595,144.9461514,5,13519.33,Summer,True,1.0621,great phone! love it. i am now a pixel fan!,True
ORD265205,ID0287630676,2019-11-24,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2), ('Toshika 750', 2), ('Alcon 10', 1)]",22900,87.38,-37.8036348,144.94589950000002,5,21842.38,Spring,True,1.0114,"the phone stop working after sept 14, 2019. brought on june 14, 2019 the phone is useless. any factory warranty?",False
ORD001065,ID0664380201,2019-11-13,Nickolson,"[('Lucent 330S', 1), ('Alcon 10', 2)]",19130,96.13,-37.819576500000004,144.9696604,10,17313.13,Spring,True,0.1097,love the added space. easy to move around in. i am excited to use all the new features.,True
